0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.16,0.02,0.02,0.04,0.04,0.08,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.02
0.04,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.04,0.08,0.02,0.08,0.04,0.04,0.04,0.04,0.04,0.02,0.08,0.04,0.02,0.04,0.02,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.24,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.08,0.02,0.08,0.16,0.04,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.02,0.02
0.04,0.04,0.04,0.04,0.12,0.08,0.02,0.02,0.04,0.04,0.04,0.04,0.08,0.12,0.04,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.08,0.02,0.08,0.04,0.08,0.04,0.08,0.08,0.08,0.04,0.04
0.2,0.12,0.08,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.16,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16,0.08,0.04
0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.08,0.08,0.02,0.04,0.04,0.08,0.04,0.04,0.02,0.04,0.04,0.04,0.08,0.04,0.04,0.02,0.08,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.02,0.08,0.02,0.04,0.12,0.04,0.04,0.04,0.08,0.04,0.08,0.16,0.04
0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.16,0.04,0.04,0.02,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.32,0.08,0.02,0.12,0.04,0.04,0.02,0.04,0.02,0.02,0.02,0.12,0.04,0.02,0.04,0.02,0.02,0.04,0.04,0.02,0.04
0.04,0.04,0.02,0.04,0.02,0.04,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.02,0.02
0.04,0.08,0.12,0.12,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.02,0.04,0.02,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.04,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,0.04,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.04,0.02,0.16,0.08,0.08,0.08,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.08,0.08,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.04,0.02,0.02,0.12,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.02,0.08,0.02,0.04,0.04,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.04
0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,0.04,0.08,0.08,0.04,0.04,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.02,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.04,0.04,0.04
0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.02,0.04
0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.12,0.2,0.04,0.04,0.08,0.02,0.04,0.04,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.04,0.02,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.12,0.12,0.04,0.12,0.04,0.04,0.04,0.02,0.04,0.08,0.08,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.02,0.02,0.04,0.04,0.02,0.02,0.02,0.04,0.02
0.04,0.04,0.02,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.08,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.0,0.02,0.02,0.02,0.04,0.04,0.08,0.04,0.24,0.16,0.12,0.08,0.12,0.16,0.04,0.04,0.12,0.04,0.04,0.04,0.08,0.04,0.02,0.04,0.08,0.04
0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.08,0.04,0.08,0.08,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,0.08,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
